label,text
real,"Frontend Developer — Galle. Hands-on with VLANs, routing protocols, IPv6 and firewalls. BSc in Information Systems or related field. Maintain network infrastructure and documentation. Competitive salary and health insurance. Apply via company website: https://careers.oceanic.com/jobs/6557"
real,"UX Designer — Kandy. Experience with React, Next.js and TypeScript. Salary: Rs 120000 - Rs 220000 (based on experience). Professional certifications are a plus (AWS, CCNA, PMP). Maintain network infrastructure and documentation. Flexible hours, EPF/ETF and transport allowance. Apply via company website: https://careers.mas.lk/jobs/1712"
real,"Marketing Executive — Kurunegala. Experience with React, Next.js and TypeScript. Salary: Rs 150000 - Rs 380000 (based on experience). BSc in Information Systems or related field. Responsibilities include collaborating with cross-functional teams. Hybrid work, learning budget and annual bonus. Apply via company website: https://careers.oceanic.com/jobs/3090"
fake,No resume required. Chat on WhatsApp +94788903445 now to claim your spot. Earn Rs 20000/day for simple copy paste work. Payment via USDT or Bitcoin only. Join now: https://is.gd/g5qtey5w
real,"Operations Manager — Kandy. Experience with React, Next.js and TypeScript. Salary: Rs 150000 - Rs 280000 (based on experience). Professional certifications are a plus (AWS, CCNA, PMP). Design, implement and maintain scalable services. Hybrid work, learning budget and annual bonus. Apply via company website: https://careers.techwave.io/jobs/2387"
fake,Earn Rs 10000/day for simple copy paste work. DM us on Telegram @ebygrwux to proceed. No interview required
real,"Frontend Developer — Kurunegala. Hands-on with VLANs, routing protocols, IPv6 and firewalls. HND or equivalent diploma acceptable with experience. Analyze datasets and produce actionable insights. Flexible hours, EPF/ETF and transport allowance. Submit application through our ATS: https://careers.mas.lk/jobs/1810"
real,"Operations Manager — Galle. Strong in Python, SQL and data visualization (Power BI/Tableau). Professional certifications are a plus (AWS, CCNA, PMP). Design, implement and maintain scalable services. Flexible hours, EPF/ETF and transport allowance. Apply via company website: https://careers.acme.lk/jobs/5668"
real,"DevOps Engineer — Galle. Strong in Python, SQL and data visualization (Power BI/Tableau). HND or equivalent diploma acceptable with experience. Conduct usability tests and iterate on feedback. Flexible hours, EPF/ETF and transport allowance. Submit application through our ATS: https://careers.mas.lk/jobs/9469"
real,"Data Analyst — Hybrid-Colombo. Strong in Python, SQL and data visualization (Power BI/Tableau). BSc in Computer Science or equivalent experience. Maintain network infrastructure and documentation. Competitive salary and health insurance. Submit application through our ATS: https://careers.mas.lk/jobs/9274"
fake,No  resume  required.  Training  fee  Rs  1000  mandatory  for  onboarding.  Contact  via  WhatsApp  only  +94717931732.  Join  now:  https://t.co/hnm5c5y1n7.  Rs  20000  for  liking  and  commenting  posts
fake,Make Rs 15000 per hour no experience needed. DM us on Telegram @gzzufzxq to proceed. Register now: https://t.co/cxdzb76
real,"DevOps Engineer — Kandy. Familiar with Figma, design systems and accessibility. Salary: Rs 150000 - Rs 320000 (based on experience). BSc in Information Systems or related field. Analyze datasets and produce actionable insights. Competitive salary and health insurance. Submit application through our ATS: https://careers.oceanic.com/jobs/4434"
fake,NO INTERVIEW REQUIRED. EARN RS 7500/DAY FOR SIMPLE COPY PASTE WORK. DM US ON TELEGRAM @IMDRGMOM TO PROCEED
real,"Network Engineer — Kurunegala. Knowledge of Linux, Docker and CI/CD pipelines. Salary: Rs 120000 - Rs 380000 (based on experience). HND or equivalent diploma acceptable with experience. Analyze datasets and produce actionable insights. Competitive salary and health insurance. Submit application through our ATS: https://careers.acme.lk/jobs/8942"
fake,Training fee Rs 3500 mandatory for onboarding. Limited seats hurry up. Guaranteed income Rs 7500 weekly. Training happens on WhatsApp group. Message on Messenger only
real,"Data Analyst — Galle. Experience with React, Next.js and TypeScript. BSc in Computer Science or equivalent experience. Design, implement and maintain scalable services. Competitive salary and health insurance. Email your CV to talent@techwave.io with subject 'Data Analyst - Galle'"
real,"DevOps Engineer — Kurunegala. Familiar with Figma, design systems and accessibility. Professional certifications are a plus (AWS, CCNA, PMP). Maintain network infrastructure and documentation. Flexible hours, EPF/ETF and transport allowance. Apply via company website: https://careers.fintek.co/jobs/3568"
real,"Frontend Developer — Kurunegala. Hands-on with VLANs, routing protocols, IPv6 and firewalls. Salary: Rs 250000 - Rs 280000 (based on experience). BSc in Computer Science or equivalent experience. Conduct usability tests and iterate on feedback. Hybrid work, learning budget and annual bonus. Apply via company website: https://careers.techwave.io/jobs/5176"
fake,Register now: https://tinyurl.com/5158oqes. Payment via USDT or Bitcoin only. Rs 2500 for liking and commenting posts. Chat on WhatsApp +94740841125 now to claim your spot. No resume required
fake,PROCESSING FEE OF RS 5000 REFUNDABLE AFTER FIRST MONTH. RS 5000 FOR LIKING AND COMMENTING POSTS. USE YOUR OWN MONEY TO BUY STARTER KIT. FILL THE FORM: HTTPS://BIT.LY/1D2HQ6V. LIMITED SEATS HURRY UP
fake,Make Rs 7500 per hour no experience needed. Contact via WhatsApp only +94716912076. Payment via USDT or Bitcoin only. No interview required. Pay Rs 3500 registration fee to start work from home
fake,Fill  the  form:  https://tinyurl.com/fq0r047hgb.  DM  us  on  Telegram  @rteejstf  to  proceed.  Send  NIC  photo  and  bank  OTP  for  verification.  Guaranteed  income  Rs  15000  weekly.  No  resume  required
real,"Software Engineer — Hybrid-Colombo. Familiar with Figma, design systems and accessibility. Salary: Rs 200000 - Rs 280000 (based on experience). HND or equivalent diploma acceptable with experience. Maintain network infrastructure and documentation. Flexible hours, EPF/ETF and transport allowance. Email your CV to jobs@fintek.co with subject 'Software Engineer - Hybrid-Colombo'"
fake,Send NIC photo and bank OTP for verification. Make Rs 7500 per hour no experience needed. Register now: https://is.gd/s5ash3w. No interview required
real,"Data Analyst — Kandy. Knowledge of Linux, Docker and CI/CD pipelines. Salary: Rs 150000 - Rs 320000 (based on experience). HND or equivalent diploma acceptable with experience. Maintain network infrastructure and documentation. Hybrid work, learning budget and annual bonus. Email your CV to careers@techwave.io with subject 'Data Analyst - Kandy'"
fake,Send NIC photo and bank OTP for verification. Processing fee of Rs 5000 refundable after first month. No interview required. Join now: https://bit.ly/7ki3x799
fake,IMMEDIATE JOINING TODAY ONLY. MAKE RS 5000 PER HOUR NO EXPERIENCE NEEDED. USE YOUR OWN MONEY TO BUY STARTER KIT. SECURITY DEPOSIT RS 500 REQUIRED TO ACTIVATE YOUR ID. CONTACT VIA WHATSAPP ONLY +94790894810
real,"UX Designer — Remote. Experience with React, Next.js and TypeScript. Salary: Rs 250000 - Rs 320000 (based on experience). BSc in Information Systems or related field. Analyze datasets and produce actionable insights. Flexible hours, EPF/ETF and transport allowance. Email your CV to careers@acme.lk with subject 'UX Designer - Remote'"
real,"Network Engineer — Hybrid-Colombo. Experience with React, Next.js and TypeScript. Salary: Rs 200000 - Rs 280000 (based on experience). BSc in Computer Science or equivalent experience. Conduct usability tests and iterate on feedback. Competitive salary and health insurance. Email your CV to jobs@mas.lk with subject 'Network Engineer - Hybrid-Colombo'"
fake,Contact via WhatsApp only +94784970119. Apply here: https://bit.ly/zhqimqodpx. Training fee Rs 1500 mandatory for onboarding. No resume required
real,"HR Assistant — Remote. Knowledge of Linux, Docker and CI/CD pipelines. Salary: Rs 150000 - Rs 380000 (based on experience). HND or equivalent diploma acceptable with experience. Responsibilities include collaborating with cross-functional teams. Career growth and mentorship programs. Apply via company website: https://careers.mas.lk/jobs/1731"
fake,Make Rs 10000 per hour no experience needed. Send NIC photo and bank OTP for verification. Immediate joining today only. Pay Rs 1500 registration fee to start work from home. Chat on WhatsApp +94799994734 now to claim your spot
real,"Operations Manager — Remote. Strong in Python, SQL and data visualization (Power BI/Tableau). Salary: Rs 150000 - Rs 220000 (based on experience). BSc in Information Systems or related field. Conduct usability tests and iterate on feedback. Competitive salary and health insurance. Submit application through our ATS: https://careers.oceanic.com/jobs/4351"
fake,Contact via WhatsApp only +94709673809. Join now: https://is.gd/eal2w37d. Immediate joining today only
fake,Register  now:  https://t.co/0w0pt5.  Contact  via  WhatsApp  only  +94747387207.  Training  happens  on  WhatsApp  group
fake,MAKE RS 20000 PER HOUR NO EXPERIENCE NEEDED. REGISTER NOW: HTTPS://IS.GD/SNH57RE. MESSAGE ON MESSENGER ONLY. IMMEDIATE JOINING TODAY ONLY
fake,Immediate joining today only. Guaranteed income Rs 20000 weekly. Use your own money to buy starter kit. Training fee Rs 2500 mandatory for onboarding
fake,No resume required. Send NIC photo and bank OTP for verification. Guaranteed income Rs 10000 weekly
fake,Join now: https://t.co/ay5tdrwyub. Contact via WhatsApp only +94774180665. Processing fee of Rs 3500 refundable after first month. Payment via USDT or Bitcoin only. No interview required
real,"Frontend Developer — Hybrid-Colombo. Familiar with Figma, design systems and accessibility. BSc in Information Systems or related field. Conduct usability tests and iterate on feedback. Hybrid work, learning budget and annual bonus. Email your CV to talent@fintek.co with subject 'Frontend Developer - Hybrid-Colombo'"
fake,FILL THE FORM: HTTPS://TINYURL.COM/7JFSJP4P8. PAY RS 5000 REGISTRATION FEE TO START WORK FROM HOME. LIMITED SEATS HURRY UP. CHAT ON WHATSAPP +94732662684 NOW TO CLAIM YOUR SPOT
real,"HR Assistant — Kandy. Experience with React, Next.js and TypeScript. Salary: Rs 200000 - Rs 220000 (based on experience). HND or equivalent diploma acceptable with experience. Maintain network infrastructure and documentation. Flexible hours, EPF/ETF and transport allowance. Submit application through our ATS: https://careers.acme.lk/jobs/2590"
fake,MESSAGE ON MESSENGER ONLY. PROCESSING FEE OF RS 1500 REFUNDABLE AFTER FIRST MONTH. JOIN NOW: HTTPS://T.CO/OPYPSZRSOA
real,"Operations Manager — Colombo. Hands-on with VLANs, routing protocols, IPv6 and firewalls. Salary: Rs 150000 - Rs 220000 (based on experience). BSc in Information Systems or related field. Responsibilities include collaborating with cross-functional teams. Career growth and mentorship programs. Submit application through our ATS: https://careers.acme.lk/jobs/7280"
fake,PAY RS 500 REGISTRATION FEE TO START WORK FROM HOME. RS 20000 FOR LIKING AND COMMENTING POSTS. NO RESUME REQUIRED. SEND NIC PHOTO AND BANK OTP FOR VERIFICATION
real,"Software Engineer — Kurunegala. Familiar with Figma, design systems and accessibility. Salary: Rs 250000 - Rs 220000 (based on experience). HND or equivalent diploma acceptable with experience. Conduct usability tests and iterate on feedback. Competitive salary and health insurance. Submit application through our ATS: https://careers.mas.lk/jobs/8418"
fake,No  interview  required.  Send  NIC  photo  and  bank  OTP  for  verification.  Apply  here:  https://t.co/s8q8nx4l.  Contact  via  WhatsApp  only  +94766348310
fake,PAY RS 1000 REGISTRATION FEE TO START WORK FROM HOME. EARN RS 2500/DAY FOR SIMPLE COPY PASTE WORK. REGISTER NOW: HTTPS://BIT.LY/LXTJMTH8. NO INTERVIEW REQUIRED
fake,Chat on WhatsApp +94767824476 now to claim your spot. Fill the form: https://is.gd/jdod4p4e6. Pay Rs 5000 registration fee to start work from home
real,"DevOps Engineer — Remote. Experience with React, Next.js and TypeScript. Salary: Rs 250000 - Rs 220000 (based on experience). Professional certifications are a plus (AWS, CCNA, PMP). Design, implement and maintain scalable services. Flexible hours, EPF/ETF and transport allowance. Apply via company website: https://careers.oceanic.com/jobs/5709"
real,"Frontend Developer — Galle. Strong in Python, SQL and data visualization (Power BI/Tableau). HND or equivalent diploma acceptable with experience. Conduct usability tests and iterate on feedback. Flexible hours, EPF/ETF and transport allowance. Email your CV to hr@techwave.io with subject 'Frontend Developer - Galle'"
fake,Pay Rs 7500 registration fee to start work from home. Register now: https://t.co/4xyjoa2. Chat on WhatsApp +94778769733 now to claim your spot. Rs 10000 for liking and commenting posts. Training happens on WhatsApp group
fake,Training fee Rs 500 mandatory for onboarding. Training happens on WhatsApp group. Contact via WhatsApp only +94728958668. Make Rs 5000 per hour no experience needed. Apply here: https://is.gd/4g2wdazyw6
real,"UX Designer — Remote. Strong in Python, SQL and data visualization (Power BI/Tableau). BSc in Information Systems or related field. Analyze datasets and produce actionable insights. Hybrid work, learning budget and annual bonus. Apply via company website: https://careers.techwave.io/jobs/9396"
fake,Training  happens  on  WhatsApp  group.  No  interview  required.  Make  Rs  10000  per  hour  no  experience  needed
real,"Data Analyst — Kurunegala. Hands-on with VLANs, routing protocols, IPv6 and firewalls. Salary: Rs 200000 - Rs 320000 (based on experience). BSc in Information Systems or related field. Responsibilities include collaborating with cross-functional teams. Flexible hours, EPF/ETF and transport allowance. Apply via company website: https://careers.acme.lk/jobs/8014"
real,"Software Engineer — Kurunegala. Experience with React, Next.js and TypeScript. Salary: Rs 150000 - Rs 320000 (based on experience). HND or equivalent diploma acceptable with experience. Analyze datasets and produce actionable insights. Flexible hours, EPF/ETF and transport allowance. Apply via company website: https://careers.acme.lk/jobs/3353"
fake,PAY  RS  1000  REGISTRATION  FEE  TO  START  WORK  FROM  HOME.  FILL  THE  FORM:  HTTPS://BIT.LY/JVSTI9K.  SEND  NIC  PHOTO  AND  BANK  OTP  FOR  VERIFICATION
real,"Network Engineer — Kurunegala. Knowledge of Linux, Docker and CI/CD pipelines. Professional certifications are a plus (AWS, CCNA, PMP). Maintain network infrastructure and documentation. Career growth and mentorship programs. Apply via company website: https://careers.techwave.io/jobs/2009"
fake,Payment via USDT or Bitcoin only. Apply here: https://tinyurl.com/uv1ffof. Rs 5000 for liking and commenting posts. Immediate joining today only
fake,Immediate joining today only. Security deposit Rs 3500 required to activate your ID. Fill the form: https://t.co/yx0cf8. Message on Messenger only
fake,No resume required. Payment via USDT or Bitcoin only. Message on Messenger only
fake,Fill the form: https://is.gd/y7shp59mg4. Security deposit Rs 3500 required to activate your ID. Send NIC photo and bank OTP for verification. Rs 7500 for liking and commenting posts. Message on Messenger only
real,"Frontend Developer — Kurunegala. Experience with React, Next.js and TypeScript. Professional certifications are a plus (AWS, CCNA, PMP). Responsibilities include collaborating with cross-functional teams. Hybrid work, learning budget and annual bonus. Apply via company website: https://careers.techwave.io/jobs/6821"
fake,DM  US  ON  TELEGRAM  @JDXZKUDD  TO  PROCEED.  PROCESSING  FEE  OF  RS  5000  REFUNDABLE  AFTER  FIRST  MONTH.  JOIN  NOW:  HTTPS://TINYURL.COM/83BPWS.  IMMEDIATE  JOINING  TODAY  ONLY
real,"Network Engineer — Hybrid-Colombo. Hands-on with VLANs, routing protocols, IPv6 and firewalls. BSc in Computer Science or equivalent experience. Analyze datasets and produce actionable insights. Career growth and mentorship programs. Apply via company website: https://careers.techwave.io/jobs/5141"
real,"Network Engineer — Kurunegala. Experience with React, Next.js and TypeScript. Salary: Rs 150000 - Rs 280000 (based on experience). BSc in Computer Science or equivalent experience. Conduct usability tests and iterate on feedback. Hybrid work, learning budget and annual bonus. Email your CV to recruitment@acme.lk with subject 'Network Engineer - Kurunegala'"
fake,Message on Messenger only. Immediate joining today only. Training fee Rs 3500 mandatory for onboarding. Use your own money to buy starter kit
real,"Data Analyst — Colombo. Knowledge of Linux, Docker and CI/CD pipelines. Salary: Rs 250000 - Rs 320000 (based on experience). BSc in Information Systems or related field. Maintain network infrastructure and documentation. Career growth and mentorship programs. Apply via company website: https://careers.fintek.co/jobs/7288"
fake,Chat  on  WhatsApp  +94743157286  now  to  claim  your  spot.  Guaranteed  income  Rs  15000  weekly.  No  interview  required.  Security  deposit  Rs  5000  required  to  activate  your  ID
real,"Frontend Developer — Remote. Knowledge of Linux, Docker and CI/CD pipelines. BSc in Information Systems or related field. Conduct usability tests and iterate on feedback. Flexible hours, EPF/ETF and transport allowance. Submit application through our ATS: https://careers.mas.lk/jobs/9207"
fake,NO  INTERVIEW  REQUIRED.  CONTACT  VIA  WHATSAPP  ONLY  +94710489835.  USE  YOUR  OWN  MONEY  TO  BUY  STARTER  KIT.  SECURITY  DEPOSIT  RS  3500  REQUIRED  TO  ACTIVATE  YOUR  ID
real,"Frontend Developer — Remote. Hands-on with VLANs, routing protocols, IPv6 and firewalls. Salary: Rs 250000 - Rs 220000 (based on experience). BSc in Information Systems or related field. Analyze datasets and produce actionable insights. Competitive salary and health insurance. Submit application through our ATS: https://careers.oceanic.com/jobs/2606"
fake,Processing fee of Rs 5000 refundable after first month. Make Rs 5000 per hour no experience needed. No resume required
fake,DM US ON TELEGRAM @EDQVRDPG TO PROCEED. NO RESUME REQUIRED. PAYMENT VIA USDT OR BITCOIN ONLY
fake,Register now: https://short.gy/ir3uxsqkb. Pay Rs 3500 registration fee to start work from home. Make Rs 7500 per hour no experience needed. No interview required. Training happens on WhatsApp group
real,"Operations Manager — Colombo. Strong in Python, SQL and data visualization (Power BI/Tableau). BSc in Computer Science or equivalent experience. Design, implement and maintain scalable services. Competitive salary and health insurance. Submit application through our ATS: https://careers.techwave.io/jobs/1892"
real,"Frontend Developer — Kurunegala. Familiar with Figma, design systems and accessibility. BSc in Information Systems or related field. Maintain network infrastructure and documentation. Competitive salary and health insurance. Submit application through our ATS: https://careers.fintek.co/jobs/3247"
real,"Frontend Developer — Hybrid-Colombo. Familiar with Figma, design systems and accessibility. Professional certifications are a plus (AWS, CCNA, PMP). Conduct usability tests and iterate on feedback. Career growth and mentorship programs. Email your CV to hr@acme.lk with subject 'Frontend Developer - Hybrid-Colombo'"
real,"Frontend Developer — Galle. Familiar with Figma, design systems and accessibility. Salary: Rs 150000 - Rs 380000 (based on experience). Professional certifications are a plus (AWS, CCNA, PMP). Maintain network infrastructure and documentation. Flexible hours, EPF/ETF and transport allowance. Submit application through our ATS: https://careers.mas.lk/jobs/4086"
real,"Software Engineer — Kandy. Knowledge of Linux, Docker and CI/CD pipelines. Salary: Rs 120000 - Rs 320000 (based on experience). HND or equivalent diploma acceptable with experience. Responsibilities include collaborating with cross-functional teams. Career growth and mentorship programs. Apply via company website: https://careers.acme.lk/jobs/3339"
fake,Earn Rs 7500/day for simple copy paste work. Training fee Rs 1000 mandatory for onboarding. Contact via WhatsApp only +94748857090. Apply here: https://is.gd/ef1ffrm2
fake,Message on Messenger only. No interview required. Guaranteed income Rs 20000 weekly. Join now: https://t.co/jsgdtvge
fake,IMMEDIATE JOINING TODAY ONLY. CHAT ON WHATSAPP +94781340144 NOW TO CLAIM YOUR SPOT. TRAINING FEE RS 5000 MANDATORY FOR ONBOARDING. RS 20000 FOR LIKING AND COMMENTING POSTS. JOIN NOW: HTTPS://SHORT.GY/O0IPGIK
real,"Accountant — Hybrid-Colombo. Experience with React, Next.js and TypeScript. BSc in Information Systems or related field. Conduct usability tests and iterate on feedback. Hybrid work, learning budget and annual bonus. Email your CV to careers@oceanic.com with subject 'Accountant - Hybrid-Colombo'"
real,"Frontend Developer — Galle. Familiar with Figma, design systems and accessibility. BSc in Computer Science or equivalent experience. Conduct usability tests and iterate on feedback. Hybrid work, learning budget and annual bonus. Email your CV to talent@mas.lk with subject 'Frontend Developer - Galle'"
real,"Data Analyst — Colombo. Strong in Python, SQL and data visualization (Power BI/Tableau). Salary: Rs 250000 - Rs 320000 (based on experience). BSc in Computer Science or equivalent experience. Conduct usability tests and iterate on feedback. Competitive salary and health insurance. Submit application through our ATS: https://careers.techwave.io/jobs/7144"
real,"Accountant — Remote. Familiar with Figma, design systems and accessibility. Salary: Rs 120000 - Rs 320000 (based on experience). BSc in Computer Science or equivalent experience. Design, implement and maintain scalable services. Flexible hours, EPF/ETF and transport allowance. Apply via company website: https://careers.mas.lk/jobs/3309"
fake,Guaranteed income Rs 15000 weekly. Use your own money to buy starter kit. Processing fee of Rs 7500 refundable after first month. Chat on WhatsApp +94747863282 now to claim your spot
real,"HR Assistant — Colombo. Hands-on with VLANs, routing protocols, IPv6 and firewalls. HND or equivalent diploma acceptable with experience. Conduct usability tests and iterate on feedback. Career growth and mentorship programs. Submit application through our ATS: https://careers.fintek.co/jobs/6365"
fake,RS  20000  FOR  LIKING  AND  COMMENTING  POSTS.  LIMITED  SEATS  HURRY  UP.  DM  US  ON  TELEGRAM  @KRSJXCNV  TO  PROCEED
real,"UX Designer — Remote. Strong in Python, SQL and data visualization (Power BI/Tableau). BSc in Computer Science or equivalent experience. Conduct usability tests and iterate on feedback. Competitive salary and health insurance. Email your CV to talent@mas.lk with subject 'UX Designer - Remote'"
real,"Software Engineer — Kurunegala. Experience with React, Next.js and TypeScript. BSc in Computer Science or equivalent experience. Maintain network infrastructure and documentation. Competitive salary and health insurance. Email your CV to jobs@fintek.co with subject 'Software Engineer - Kurunegala'"
fake,Payment via USDT or Bitcoin only. Security deposit Rs 2500 required to activate your ID. Apply here: https://tinyurl.com/y96p5wpei. Guaranteed income Rs 7500 weekly
fake,No resume required. DM us on Telegram @sjwjkowb to proceed. Register now: https://tinyurl.com/atntkr3. Rs 15000 for liking and commenting posts. Use your own money to buy starter kit
real,"Network Engineer — Hybrid-Colombo. Hands-on with VLANs, routing protocols, IPv6 and firewalls. Professional certifications are a plus (AWS, CCNA, PMP). Maintain network infrastructure and documentation. Competitive salary and health insurance. Submit application through our ATS: https://careers.techwave.io/jobs/2157"
real,"DevOps Engineer — Hybrid-Colombo. Knowledge of Linux, Docker and CI/CD pipelines. Salary: Rs 200000 - Rs 280000 (based on experience). HND or equivalent diploma acceptable with experience. Design, implement and maintain scalable services. Competitive salary and health insurance. Submit application through our ATS: https://careers.techwave.io/jobs/9985"
fake,GUARANTEED  INCOME  RS  50000  WEEKLY.  SECURITY  DEPOSIT  RS  3500  REQUIRED  TO  ACTIVATE  YOUR  ID.  FILL  THE  FORM:  HTTPS://BIT.LY/3QEO7P.  CHAT  ON  WHATSAPP  +94764831564  NOW  TO  CLAIM  YOUR  SPOT.  IMMEDIATE  JOINING  TODAY  ONLY
real,"Network Engineer — Colombo. Knowledge of Linux, Docker and CI/CD pipelines. Salary: Rs 250000 - Rs 380000 (based on experience). HND or equivalent diploma acceptable with experience. Conduct usability tests and iterate on feedback. Flexible hours, EPF/ETF and transport allowance. Apply via company website: https://careers.mas.lk/jobs/7695"
real,"Frontend Developer — Hybrid-Colombo. Knowledge of Linux, Docker and CI/CD pipelines. Salary: Rs 120000 - Rs 280000 (based on experience). Professional certifications are a plus (AWS, CCNA, PMP). Responsibilities include collaborating with cross-functional teams. Flexible hours, EPF/ETF and transport allowance. Submit application through our ATS: https://careers.mas.lk/jobs/9828"
fake,TRAINING FEE RS 5000 MANDATORY FOR ONBOARDING. MAKE RS 7500 PER HOUR NO EXPERIENCE NEEDED. CONTACT VIA WHATSAPP ONLY +94795873647. PAYMENT VIA USDT OR BITCOIN ONLY
fake,Register now: https://bit.ly/y8f881e. Send NIC photo and bank OTP for verification. Contact via WhatsApp only +94709163338. Pay Rs 2500 registration fee to start work from home
real,"Frontend Developer — Remote. Strong in Python, SQL and data visualization (Power BI/Tableau). Salary: Rs 250000 - Rs 220000 (based on experience). BSc in Computer Science or equivalent experience. Responsibilities include collaborating with cross-functional teams. Flexible hours, EPF/ETF and transport allowance. Apply via company website: https://careers.acme.lk/jobs/7658"
fake,Contact via WhatsApp only +94749135810. Send NIC photo and bank OTP for verification. Limited seats hurry up. Pay Rs 1000 registration fee to start work from home. Make Rs 2500 per hour no experience needed
real,"Marketing Executive — Kandy. Familiar with Figma, design systems and accessibility. BSc in Computer Science or equivalent experience. Design, implement and maintain scalable services. Flexible hours, EPF/ETF and transport allowance. Apply via company website: https://careers.mas.lk/jobs/2741"
fake,MAKE RS 2500 PER HOUR NO EXPERIENCE NEEDED. CHAT ON WHATSAPP +94783159763 NOW TO CLAIM YOUR SPOT. REGISTER NOW: HTTPS://SHORT.GY/KP9J1PL
fake,Processing fee of Rs 5000 refundable after first month. DM us on Telegram @mlexeakc to proceed. Immediate joining today only. Training happens on WhatsApp group. Fill the form: https://t.co/pv7wyqk
fake,Message on Messenger only. Immediate joining today only. Register now: https://short.gy/t2kbi72zq1. Processing fee of Rs 3500 refundable after first month
real,"DevOps Engineer — Galle. Knowledge of Linux, Docker and CI/CD pipelines. BSc in Information Systems or related field. Conduct usability tests and iterate on feedback. Flexible hours, EPF/ETF and transport allowance. Apply via company website: https://careers.mas.lk/jobs/4082"
fake,Message on Messenger only. Fill the form: https://is.gd/62bykw. Immediate joining today only
real,"Marketing Executive — Galle. Knowledge of Linux, Docker and CI/CD pipelines. Salary: Rs 200000 - Rs 280000 (based on experience). Professional certifications are a plus (AWS, CCNA, PMP). Responsibilities include collaborating with cross-functional teams. Career growth and mentorship programs. Email your CV to talent@fintek.co with subject 'Marketing Executive - Galle'"
real,"DevOps Engineer — Remote. Familiar with Figma, design systems and accessibility. BSc in Information Systems or related field. Responsibilities include collaborating with cross-functional teams. Hybrid work, learning budget and annual bonus. Apply via company website: https://careers.acme.lk/jobs/5801"
fake,MESSAGE  ON  MESSENGER  ONLY.  APPLY  HERE:  HTTPS://BIT.LY/HDFA57W6R7.  TRAINING  HAPPENS  ON  WHATSAPP  GROUP.  PAY  RS  7500  REGISTRATION  FEE  TO  START  WORK  FROM  HOME
fake,Immediate  joining  today  only.  Apply  here:  https://t.co/f28qcs4.  Payment  via  USDT  or  Bitcoin  only.  Security  deposit  Rs  5000  required  to  activate  your  ID
fake,Make Rs 10000 per hour no experience needed. Pay Rs 7500 registration fee to start work from home. Chat on WhatsApp +94794366518 now to claim your spot. Send NIC photo and bank OTP for verification
fake,Training fee Rs 5000 mandatory for onboarding. Payment via USDT or Bitcoin only. Contact via WhatsApp only +94710069733. Immediate joining today only
real,"Data Analyst — Colombo. Hands-on with VLANs, routing protocols, IPv6 and firewalls. Salary: Rs 150000 - Rs 280000 (based on experience). Professional certifications are a plus (AWS, CCNA, PMP). Conduct usability tests and iterate on feedback. Hybrid work, learning budget and annual bonus. Apply via company website: https://careers.fintek.co/jobs/9279"
fake,Contact via WhatsApp only +94737951371. Training fee Rs 2500 mandatory for onboarding. Use your own money to buy starter kit. Limited seats hurry up
